,0
102,"id: 2245183, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
103,"id: 2245485, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
104,"id: 2245787, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
105,"id: 2246089, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
106,"id: 2246391, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
107,"id: 2246693, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
108,"id: 2246995, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
109,"id: 2247297, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
110,"id: 2247599, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
111,"id: 2247901, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
112,"id: 2248203, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
113,"id: 2248505, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
114,"id: 2248807, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
115,"id: 2249109, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
116,"id: 2249411, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
117,"id: 2249713, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
118,"id: 2250015, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
119,"id: 2250317, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
120,"id: 2250619, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
121,"id: 2250921, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
122,"id: 2251223, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
123,"id: 2251525, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
124,"id: 2251827, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
125,"id: 2252129, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
126,"id: 2252431, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
127,"id: 2252733, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
128,"id: 2253035, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
129,"id: 2253337, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
130,"id: 2253639, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
131,"id: 2253941, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
132,"id: 2254243, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
